0xdd2a:ld ix,(**)
0xdd2b:dec ix
0xdd2c:inc ixl
0xdd2d:dec ixl
0xdd2e:ld ixl,*
0xdd34:inc (ix+*)
0xdd35:dec (ix+*)
0xdd36:ld (ix+*),*
0xdd39:add ix,sp
0xdd44:ld b,ixh
0xdd45:ld b,ixl
0xdd46:ld b,(ix+*)
0xdd4c:ld c,ixh
0xdd4d:ld c,ixl
0xdd4e:ld c,(ix+*)
0xdd54:ld d,ixh
0xdd55:ld d,ixl
0xdd56:ld d,(ix+*)
0xdd5c:ld e,ixh
0xdd5d:ld e,ixl
0xdd5e:ld e,(ix+*)
0xdd60:ld ixh,b
0xdd61:ld ixh,c
0xdd62:ld ixh,d
0xdd63:ld ixh,e
0xdd64:ld ixh,ixh
0xdd65:ld ixh,ixl
0xdd66:ld h,(ix+*)
0xdd67:ld ixh,a
0xdd68:ld ixl,b
0xdd69:ld ixl,c
0xdd6a:ld ixl,d
0xdd6b:ld ixl,e
0xdd6c:ld ixl,ixh
0xdd6d:ld ixl,ixl
0xdd6e:ld l,(ix+*)
0xdd6f:ld ixl,a
0xdd70:ld (ix+*),b
0xdd71:ld (ix+*),c
0xdd72:ld (ix+*),d
0xdd73:ld (ix+*),e
0xdd74:ld (ix+*),h
0xdd75:ld (ix+*),l
0xdd77:ld (ix+*),a
0xdd7c:ld a,ixh
0xdd7d:ld a,ixl
0xdd7e:ld a,(ix+*)
0xdd84:add a,ixh
0xdd85:add a,ixl
0xdd86:add a,(ix+*)
0xdd8c:adc a,ixh
0xdd8d:adc a,ixl
0xdd8e:adc a,(ix+*)
0xdd94:sub ixh
0xdd95:sub ixl
0xdd96:sub (ix+*)
0xdd9c:sbc a,ixh
0xdd9d:sbc a,ixl
0xdd9e:sbc a,(ix+*)
0xdda4:and ixh
0xdda5:and ixl
0xdda6:and (ix+*)
0xddac:xor ixh
0xddad:xor ixl
0xddae:xor (ix+*)
0xddb4:or ixh
0xddb5:or ixl
0xddb6:or (ix+*)
0xddbc:cp ixh
0xddbd:cp ixl
0xddbe:cp (ix+*)
0xdde1:pop ix
0xdde3:ex (sp),ix
0xdde5:push ix
0xdde9:jp (ix)
0xddf9:ld sp,ix
0xddcb00:rlc (ix+*),b
0xddcb01:rlc (ix+*),c
0xddcb02:rlc (ix+*),d
0xddcb03:rlc (ix+*),e
0xddcb04:rlc (ix+*),h
0xddcb05:rlc (ix+*),l
0xddcb06:rlc (ix+*)
0xddcb07:rlc (ix+*),a
0xddcb08:rrc (ix+*),b
0xddcb09:rrc (ix+*),c
0xddcb0a:rrc (ix+*),d
0xddcb0b:rrc (ix+*),e
0xddcb0c:rrc (ix+*),h
0xddcb0d:rrc (ix+*),l
0xddcb0e:rrc (ix+*)
0xddcb0f:rrc (ix+*),a
0xddcb10:rl (ix+*),b
0xddcb11:rl (ix+*),c
0xddcb12:rl (ix+*),d
0xddcb13:rl (ix+*),e
0xddcb14:rl (ix+*),h
0xddcb15:rl (ix+*),l
0xddcb16:rl (ix+*)
0xddcb17:rl (ix+*),a
0xddcb18:rr (ix+*),b
0xddcb19:rr (ix+*),c
0xddcb1a:rr (ix+*),d
0xddcb1b:rr (ix+*),e
0xddcb1c:rr (ix+*),h
0xddcb1d:rr (ix+*),l
0xddcb1e:rr (ix+*)
0xddcb1f:rr (ix+*),a
0xddcb20:sla (ix+*),b
0xddcb21:sla (ix+*),c
0xddcb22:sla (ix+*),d
0xddcb23:sla (ix+*),e
0xddcb24:sla (ix+*),h
0xddcb25:sla (ix+*),l
0xddcb26:sla (ix+*)
0xddcb27:sla (ix+*),a
0xddcb28:sra (ix+*),b
0xddcb29:sra (ix+*),c
0xddcb2a:sra (ix+*),d
0xddcb2b:sra (ix+*),e
0xddcb2c:sra (ix+*),h
0xddcb2d:sra (ix+*),l
0xddcb2e:sra (ix+*)
0xddcb2f:sra (ix+*),a
0xddcb30:sll (ix+*),b
0xddcb31:sll (ix+*),c
0xddcb32:sll (ix+*),d
0xddcb33:sll (ix+*),e
0xddcb34:sll (ix+*),h
0xddcb35:sll (ix+*),l
0xddcb36:sll (ix+*)
0xddcb37:sll (ix+*),a
0xddcb38:srl (ix+*),b
0xddcb39:srl (ix+*),c
0xddcb3a:srl (ix+*),d
0xddcb3b:srl (ix+*),e
0xddcb3c:srl (ix+*),h
0xddcb3d:srl (ix+*),l
0xddcb3e:srl (ix+*)
0xddcb3f:srl (ix+*),a
0xddcb40:bit 0,(ix+*)
0xddcb41:bit 0,(ix+*)
0xddcb42:bit 0,(ix+*)
0xddcb43:bit 0,(ix+*)
0xddcb44:bit 0,(ix+*)
0xddcb45:bit 0,(ix+*)
0xddcb46:bit 0,(ix+*)
0xddcb47:bit 0,(ix+*)
0xddcb48:bit 1,(ix+*)
0xddcb49:bit 1,(ix+*)
0xddcb4a:bit 1,(ix+*)
0xddcb4b:bit 1,(ix+*)
0xddcb4c:bit 1,(ix+*)
0xddcb4d:bit 1,(ix+*)
0xddcb4e:bit 1,(ix+*)
0xddcb4f:bit 1,(ix+*)
0xddcb50:bit 2,(ix+*)
0xddcb51:bit 2,(ix+*)
0xddcb52:bit 2,(ix+*)
0xddcb53:bit 2,(ix+*)
0xddcb54:bit 2,(ix+*)
0xddcb55:bit 2,(ix+*)
0xddcb56:bit 2,(ix+*)
0xddcb57:bit 2,(ix+*)
0xddcb58:bit 3,(ix+*)
0xddcb59:bit 3,(ix+*)
0xddcb5a:bit 3,(ix+*)
0xddcb5b:bit 3,(ix+*)
0xddcb5c:bit 3,(ix+*)
0xddcb5d:bit 3,(ix+*)
0xddcb5e:bit 3,(ix+*)
0xddcb5f:bit 3,(ix+*)
0xddcb60:bit 4,(ix+*)
0xddcb61:bit 4,(ix+*)
0xddcb62:bit 4,(ix+*)
0xddcb63:bit 4,(ix+*)
0xddcb64:bit 4,(ix+*)
0xddcb65:bit 4,(ix+*)
0xddcb66:bit 4,(ix+*)
0xddcb67:bit 4,(ix+*)
0xddcb68:bit 5,(ix+*)
0xddcb69:bit 5,(ix+*)
0xddcb6a:bit 5,(ix+*)
0xddcb6b:bit 5,(ix+*)
0xddcb6c:bit 5,(ix+*)
0xddcb6d:bit 5,(ix+*)
0xddcb6e:bit 5,(ix+*)
0xddcb6f:bit 5,(ix+*)
0xddcb70:bit 6,(ix+*)
0xddcb71:bit 6,(ix+*)
0xddcb72:bit 6,(ix+*)
0xddcb73:bit 6,(ix+*)
0xddcb74:bit 6,(ix+*)
0xddcb75:bit 6,(ix+*)
0xddcb76:bit 6,(ix+*)
0xddcb77:bit 6,(ix+*)
0xddcb78:bit 7,(ix+*)
0xddcb79:bit 7,(ix+*)
0xddcb7a:bit 7,(ix+*)
0xddcb7b:bit 7,(ix+*)
0xddcb7c:bit 7,(ix+*)
0xddcb7d:bit 7,(ix+*)
0xddcb7e:bit 7,(ix+*)
0xddcb7f:bit 7,(ix+*)
